stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
930,Miss25IB,Mission @ 25th,MISSION ST SE & 25TH ST SE,44.921908,-123.010858,,,,,,0
931,Miss21IB,Mission @ 21st,MISSION ST SE & 20TH ST SE,44.926537,-123.019438,,,,,,0
932,Miss17IB,Mission @ 17th,MISSION ST SE & 21ST ST SE,44.929478,-123.024171,,,,,,0
933,ChuCenOB,Church @ Center,CHURCH ST NE & CENTER ST NE,44.942599,-123.033802,,,,,,0
936,WinDStOB,Winter @ D St,WINTER ST NE & UNION ST NE,44.94711,-123.027851,,,,,,0
937,Mark14OB,Market @ 14th,MARKET ST NE & 14TH ST NE,44.948876,-123.017453,,,,,,0
938,Mark19OB,Market @ 19th,MARKET ST NE & 19TH ST NE,44.948743,-123.010811,,,,,,0
939,Mark21OB,Market @ 21st,MARKET ST NE & 21ST ST NE,44.949111,-123.007288,,,,,,0
940,Mark25OB,Market @ 25th,MARKET ST NE & 25TH ST NE,44.949412,-123.004261,,,,,,0
941,MarParOB,Market @ Park,MARKET ST NE & PARK AV NE,44.949757,-123.001127,,,,,,0
942,MarSavOB,Market @ Savage,MARKET ST NE & SAVAGE RD NE,44.950125,-122.996444,,,,,,0
943,MarHawOB,Market @ Hawthorne,MARKET ST NE & HAWTHORNE AV NE,44.950001,-122.992968,,,,,,0
944,MarkMoto,Market @ Motor (Fred Meyer),MARKET ST NE & 38TH PL NE,44.950024,-122.986972,,,,,,0
948,2060Brow,2060 Brown,2060 BROWN RD NE & SUNNYVIEW RD NE,44.95495,-122.970743,,,,,,0
949,BroMarOB,Brown @ Maria,2280 BROWN RD NE & MARIA AV NE,44.957547,-122.970715,,,,,,0
950,BroSanOB,Brown @ San Francisco,BROWN RD NE & UNNAMED RD NE,44.960611,-122.970675,,,,,,0
951,BroIndOB,Brown @ Indiana,BROWN RD NE & SURFWOOD DR NE,44.963612,-122.970621,,,,,,0
952,BroUtaOB,Brown @ Utah,BROWN RD NE & TEXAS AV NE,44.966196,-122.970574,,,,,,0
966,SilPGEIB,Silverton Rd @ 45th,SILVERTON RD NE & SILVERPARK PL NE,44.969894,-122.972153,,,,,,0
967,BroSanIB,Brown @ San Francisco,BROWN RD NE & ANGIE MARIE WY NE,44.96071,-122.970827,,,,,,0
968,BroMarIB,Brown @ Maria,BROWN RD NE & MARIA AV NE,44.957742,-122.970835,,,,,,0
969,2075Brow,2075 Brown,2075 BROWN RD NE & SUNNYVIEW RD NE,44.955166,-122.970908,,,,,,0
971,MarTieIB,Market @ Tierra,MARKET ST NE & 45TH AV NE,44.950281,-122.978412,,,,,,0
972,MarClaIB,Market @ Clay,MARKET ST NE & CLAY ST NE,44.950308,-122.982516,,,,,,0
973,MarkMotN,Market @ Motor,3747 MARKET ST NE & MOTOR CT NE,44.95028,-122.98674,,,,,,0
974,MarHawIB,Market @ Hawthorne,MARKET ST NE & HAWTHORNE AV NE,44.95025,-122.992815,,,,,,0
975,MarSavIB,Market @ Savage,MARKET ST NE & 32ND PL NE,44.950311,-122.996004,,,,,,0
976,MarParIB,Market @ Park,MARKET ST NE & CHILDS AV NE,44.949919,-123.000708,,,,,,0
977,Mark24IB,Market @ 24th,MARKET ST NE & 24TH ST NE,44.949539,-123.004671,,,,,,0
978,Mark21IB,Market @ 21st,MARKET ST NE & 21ST ST NE,44.949166,-123.008405,,,,,,0
981,MarCapIB,Market @ Capitol,MARKET ST NE & CAPITOL ST NE,44.949133,-123.022947,,,,,,0
982,WinDStIB,Winter @ D St,WINTER ST NE & D ST NE,44.947163,-123.027965,,,,,,0
983,WinUniIB,Winter @ Union,WINTER ST NE & D ST NE,44.943938,-123.029577,,,,,,0
985,BroSufIB,Brown @ Surfwood (South Entrance),BROWN RD NE & SURFWOOD DR NE,44.96351,-122.970806,,,,,,0
995,RivPlyOB,River Rd @ Plymouth,RIVER RD N & PLYMOUTH DR NE,44.974711,-123.02742,,,,,,0
996,RivGlyOB,River Rd @ Glynbrook,RIVER RD N & GLYNBROOK ST N,44.978155,-123.026517,,,,,,0
998,RivHomOB,River Rd @ Homewood,RIVER RD N & HOMEWOOD CT N,44.981852,-123.026467,,,,,,0
1013,RivClgSB,River Rd @ Claggett,RIVER RD N & CLAGGETT ST NE,45.000738,-123.026694,,,,,,0
1024,RivHomIB,River Rd @ Homewood,RIVER RD N & HOMEWOOD CT N,44.982015,-123.026734,,,,,,0
1027,RivAppIB,River Rd @ Apple Blossom,RIVER RD N & APPLEBLOSSOM AV N,44.974781,-123.027683,,,,,,0
1045,ReeBar,Reed @ Barnes,REED LN SE & BARNES AV SE,44.881312,-123.015582,,,,,,0
1046,ReeShiOB,Reed @ Shilo,REED LN SE & BAXTER RD SE,44.879075,-123.015565,,,,,,0
1059,MarLibOB,Marion @ Liberty,MARION ST NE & HIGH ST NE,44.944306,-123.035946,,,,,,0
1063,WalBasIB,Wallace @ Bassett,WALLACE RD NW & BASSETT ST NW,44.94647,-123.049816,,,,,,0
1064,CenLibIB,Center @ Liberty,CENTER ST NE & SALEM DALLAS HW,44.943335,-123.037317,,,,,,0
1067,7PatteOB,7th @ Patterson,7TH ST NW & PATTERSON ST NW,44.947179,-123.056871,,,,,,0
1068,8thPatOB,8th @ Patterson (Walker MS pool),8TH ST NW & MCNARY AV NW,44.947574,-123.058166,,,,,,0
1069,GerRugOB,Gerth @ Ruge,GERTH ST NW & 6TH ST NW,44.94388,-123.060803,,,,,,0
1070,Ger3rdOB,Gerth @ 3rd,GERTH ST NW & 3RD ST NW,44.941903,-123.059673,,,,,,0
1071,EdgRosOB,Edgewater @ Rosemont (West Salem Safeway),EDGEWATER ST NW & WB ROSEMONT AV RP,44.938339,-123.063078,,,,,,0
1072,EdgeMano,Edgewater @ Manorview,WB EDGEWATER RP & EDGEWATER ST NW,44.936004,-123.070796,,,,,,0
1092,EolTurIB,Eola @ Turnage,EOLA DR NW & EAGLE VIEW DR NW,44.940451,-123.078611,,,,,,0
1096,EdgRosIB,Edgewater @ Rosemont,EDGEWATER ST NW & WB ROSEMONT AV RP,44.938214,-123.06295,,,,,,0
1099,7thPatIB,7th @ Patterson,7TH ST NW & PATTERSON ST NW,44.947143,-123.056567,,,,,,0
1100,LanDurNB,Lancaster @ Durbin,LANCASTER DR SE & DURBIN AV SE,44.921574,-122.981779,,,,,,0
